Sample name	ls_delta	ls_ba1	ls_ba2
sample1.fastq	0.04545454545	0.1904761905	0.1285714286
sample2.fastq	0.04545454545	0.04761904762	0.01428571429
sample3.fastq	0.1363636364	0.1587301587	0.08571428571
sample4.fastq	0.1363636364	0.07936507937	0.07142857143
sample5.fastq	0.09090909091	0.2222222222	0.1285714286
sample6.fastq	0.1363636364	0.07936507937	0.07142857143
sample7.fastq	0.09090909091	0.03174603175	0.02857142857
sample8.fastq	0.3181818182	0.06349206349	0.05714285714
sample9.fastq	0.1363636364	0.3333333333	0.1857142857
sample10.fastq	0.1363636364	0.5238095238	0.3285714286
sample11.fastq	0.1818181818	0.01587301587	0.01428571429
sample12.fastq	0.3636363636	0.06349206349	0.05714285714
sample13.fastq	0.3636363636	0.07936507937	0.07142857143
sample14.fastq	0.09090909091	0.4444444444	0.2714285714
sample15.fastq	0.1363636364	0.3650793651	0.3857142857
sample16.fastq	0.5454545455	0.06349206349	0.05714285714
sample17.fastq	0.09090909091	0.3333333333	0.4571428571
sample18.fastq	0.1363636364	0.1111111111	0.07142857143
sample19.fastq	0.09090909091	0.3968253968	0.4142857143
sample20.fastq	0.09090909091	0.5714285714	0.3714285714
sample21.fastq	0.5	0.01587301587	0.01428571429
sample22.fastq	0.09090909091	0.5714285714	0.3714285714
sample23.fastq	0.04545454545	0.4603174603	0.2857142857
sample24.fastq	0.1363636364	0.07936507937	0.05714285714
sample25.fastq	0.04545454545	0.01587301587	0
sample26.fastq	0.1363636364	0.09523809524	0.05714285714
sample27.fastq	0.1363636364	0.1746031746	0.1285714286
sample28.fastq	0.5454545455	0.04761904762	0.04285714286
sample29.fastq	0.5	0.06349206349	0.05714285714
sample30.fastq	0.4090909091	0.01587301587	0.01428571429
sample31.fastq	0.09090909091	0.126984127	0.08571428571
sample32.fastq	0.2727272727	0.07936507937	0.07142857143
sample33.fastq	0.09090909091	0.4444444444	0.4
sample34.fastq	0.09090909091	0.4126984127	0.2571428571
sample35.fastq	0.2727272727	0.07936507937	0.07142857143
sample36.fastq	0.3636363636	0.04761904762	0.04285714286
sample37.fastq	0.09090909091	0.03174603175	0.02857142857
sample38.fastq	0.3181818182	0.06349206349	0.04285714286
sample39.fastq	0.5	0.07936507937	0.07142857143
sample40.fastq	0.09090909091	0.5714285714	0.3714285714
sample41.fastq	0.2727272727	0.06349206349	0.05714285714
sample42.fastq	0.04545454545	0.06349206349	0.08571428571
sample43.fastq	0.09090909091	0.3015873016	0.4857142857
sample44.fastq	0.3181818182	0.06349206349	0.05714285714
sample45.fastq	0.1363636364	0.1587301587	0.1428571429
sample46.fastq	0.1363636364	0.5555555556	0.3571428571
sample47.fastq	0.1363636364	0.07936507937	0.07142857143
sample48.fastq	0.1363636364	0.04761904762	0.04285714286
sample49.fastq	0.4545454545	0.07936507937	0.07142857143
sample50.fastq	0.1363636364	0.1587301587	0.1
sample51.fastq	0.5909090909	0.04761904762	0.04285714286
sample52.fastq	0.09090909091	0.3492063492	0.2571428571
sample53.fastq	0.1363636364	0.3333333333	0.2
sample54.fastq	0.5	0.06349206349	0.05714285714
sample55.fastq	0.5	0.06349206349	0.05714285714
sample56.fastq	0.1363636364	0.5714285714	0.3714285714
sample57.fastq	0.5	0.04761904762	0.04285714286
sample58.fastq	0.5909090909	0.04761904762	0.04285714286
sample59.fastq	0.09090909091	0.3650793651	0.3571428571
sample60.fastq	0.09090909091	0.3968253968	0.4714285714
sample61.fastq	0.4545454545	0.04761904762	0.04285714286
sample62.fastq	0.1818181818	0.04761904762	0.04285714286
sample63.fastq	0.09090909091	0.4444444444	0.2571428571
sample64.fastq	0.5454545455	0.06349206349	0.05714285714
sample65.fastq	0.1363636364	0.3015873016	0.2285714286
sample66.fastq		0	
sample67.fastq	0.1363636364	0.07936507937	0.07142857143
sample68.fastq		0	0
sample69.fastq	0.1363636364	0.1111111111	0.07142857143
sample70.fastq	0.1363636364	0.4603174603	0.2714285714
sample71.fastq		0.3650793651	0.2428571429
sample72.fastq	0.5909090909	0.06349206349	0.05714285714
sample73.fastq	0.3181818182	0.03174603175	0.02857142857
sample74.fastq	0.04545454545	0.4920634921	0.3428571429
sample75.fastq			
sample76.fastq	0.09090909091	0.5714285714	0.3714285714
sample77.fastq	0.04545454545	0.4444444444	0.2714285714
